epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4515,1.411,3.19852,1.18751,0.56326,0.53042,0.51773,0.33385,1.05672,2.18781,1.05469,0.000551221,0.000551221,0.000551221
2,62.637,1.1624,1.89044,1.06858,0.56703,0.76861,0.77107,0.48367,1.19084,2.06634,1.13088,0.00109593,0.00109593,0.00109593
3,92.0318,1.15326,1.4994,1.07647,0.44395,0.7416,0.6381,0.41967,1.14585,4.98705,1.17755,0.00162964,0.00162964,0.00162964
4,121.287,1.11042,1.25662,1.06778,0.7897,0.8819,0.92515,0.65251,1.04268,0.96365,1.06064,0.00161749,0.00161749,0.00161749
5,150.631,1.07037,1.0889,1.05619,0.64983,0.71617,0.67264,0.44542,1.05063,1.56678,1.10272,0.00160099,0.00160099,0.00160099
6,180.015,1.06293,0.9813,1.0524,0.82681,0.88791,0.92773,0.62673,1.03626,0.86331,1.08665,0.00158448,0.00158448,0.00158448
7,209.385,1.03084,0.95679,1.04205,0.82068,0.93525,0.95147,0.71444,0.95513,0.75434,1.05161,0.00156798,0.00156798,0.00156798
8,238.78,1.01154,0.9206,1.03449,0.84442,0.91421,0.94334,0.68475,0.97223,0.84817,1.01447,0.00155148,0.00155148,0.00155148
9,267.699,1.0229,0.8343,1.04981,0.89659,0.70464,0.93033,0.67706,0.98084,1.01672,1.05684,0.00153497,0.00153497,0.00153497
10,296.754,1.02539,0.85124,1.04333,0.7132,0.79972,0.86496,0.62058,0.9773,1.05809,1.04312,0.00151847,0.00151847,0.00151847
11,326.047,1.00149,0.82036,1.03176,0.87116,0.82969,0.9069,0.68544,0.92697,0.82676,1.03952,0.00150197,0.00150197,0.00150197
12,355.751,0.98406,0.75013,1.03028,0.9492,0.93197,0.97813,0.72457,0.92574,0.62551,1.0383,0.00148546,0.00148546,0.00148546
13,387.187,0.981,0.73533,1.03157,0.95649,0.87557,0.96837,0.73311,0.90187,0.68238,1.03871,0.00146896,0.00146896,0.00146896
14,418.878,0.98771,0.72665,1.03521,0.76487,0.84747,0.88785,0.65428,0.95178,0.94046,1.06173,0.00145246,0.00145246,0.00145246
15,448.35,0.98114,0.73476,1.02739,0.91032,0.98388,0.98674,0.74334,0.92547,0.60237,1.03752,0.00143595,0.00143595,0.00143595
16,477.64,0.956,0.69537,1.01647,0.87578,0.85507,0.95881,0.70096,1.00707,0.71362,1.12859,0.00141945,0.00141945,0.00141945
17,509.131,0.95625,0.6993,1.0142,0.84256,0.88281,0.9353,0.68231,0.97908,0.74243,1.04972,0.00140295,0.00140295,0.00140295
18,540.396,0.95184,0.68125,1.01715,0.94871,0.93154,0.9785,0.73298,0.92994,0.58819,1.04272,0.00138644,0.00138644,0.00138644
19,572.031,0.96453,0.65493,1.01748,0.9375,0.94348,0.9689,0.72573,0.91915,0.63188,1.0166,0.00136994,0.00136994,0.00136994
20,602.269,0.96516,0.65219,1.0123,0.97258,0.94374,0.98248,0.73864,0.94274,0.56524,1.03935,0.00135344,0.00135344,0.00135344
21,633.165,0.94929,0.68922,1.00827,0.64345,0.71904,0.81148,0.58646,1.00482,1.25552,1.04974,0.00133693,0.00133693,0.00133693
22,663.318,0.94454,0.6658,1.00531,0.8761,0.95652,0.98377,0.7426,0.91317,0.63389,1.02213,0.00132043,0.00132043,0.00132043
23,693.871,0.9568,0.64659,1.02133,0.96239,0.9621,0.98597,0.72898,0.95974,0.53937,1.05798,0.00130393,0.00130393,0.00130393
24,724.684,0.95489,0.62468,1.02087,0.96738,0.98766,0.99347,0.74429,0.9323,0.53407,1.05048,0.00128742,0.00128742,0.00128742
25,755.221,0.95717,0.63076,1.01073,0.94466,0.95032,0.98035,0.75528,0.91931,0.58965,1.04499,0.00127092,0.00127092,0.00127092
26,784.935,0.93998,0.61437,1.01315,0.95397,0.96214,0.98605,0.75501,0.86425,0.53548,1.01462,0.00125442,0.00125442,0.00125442
27,815.191,0.93813,0.60951,1.0187,0.9607,0.97133,0.99248,0.76155,0.89829,0.50672,1.03356,0.00123791,0.00123791,0.00123791
28,845.167,0.91663,0.61045,0.99781,0.97603,0.97193,0.99224,0.75216,0.87331,0.52002,1.0009,0.00122141,0.00122141,0.00122141
29,875.562,0.93175,0.58717,1.00531,0.97885,0.97624,0.99165,0.76879,0.88331,0.48272,1.02606,0.00120491,0.00120491,0.00120491
30,905.832,0.92104,0.59418,1.00711,0.95994,0.97888,0.99052,0.761,0.90567,0.50307,1.05346,0.0011884,0.0011884,0.0011884
31,935.415,0.92576,0.59809,1.01016,0.97861,0.97949,0.99058,0.76012,0.8895,0.49884,1.0363,0.0011719,0.0011719,0.0011719
32,965.498,0.91626,0.57618,1.00408,0.90613,0.88207,0.9338,0.71833,0.88072,0.68044,1.05085,0.0011554,0.0011554,0.0011554
33,996.952,0.91345,0.60172,1.01142,0.88527,0.82544,0.89826,0.65749,0.94634,0.77623,1.09674,0.00113889,0.00113889,0.00113889
34,1028.75,0.93094,0.58761,1.01229,0.95814,0.98922,0.99318,0.75893,0.89333,0.49467,1.03296,0.00112239,0.00112239,0.00112239
35,1059.24,0.90859,0.57187,1.00346,0.95574,0.95029,0.98636,0.75101,0.89098,0.54192,1.0477,0.00110589,0.00110589,0.00110589
36,1089.37,0.90681,0.56382,1.01228,0.95155,0.98104,0.9931,0.76664,0.86836,0.49904,1.02221,0.00108938,0.00108938,0.00108938
37,1119.53,0.90424,0.5708,0.99763,0.964,0.94339,0.98,0.75553,0.8689,0.52853,1.02632,0.00107288,0.00107288,0.00107288
38,1149.64,0.89391,0.54323,0.9981,0.97849,0.97888,0.98768,0.78101,0.85484,0.49258,1.01958,0.00105638,0.00105638,0.00105638
39,1179.46,0.90445,0.56862,1.0029,0.95572,0.97638,0.99098,0.76897,0.87665,0.52507,1.01917,0.00103987,0.00103987,0.00103987
40,1209.72,0.8844,0.55347,0.99562,0.96816,0.98011,0.99201,0.76511,0.89113,0.47987,1.03547,0.00102337,0.00102337,0.00102337
41,1240.26,0.91231,0.55343,1.01455,0.96082,0.96456,0.98912,0.76749,0.85942,0.49148,1.02659,0.00100687,0.00100687,0.00100687
42,1270.51,0.90497,0.53388,1.00424,0.98511,0.99125,0.99364,0.77513,0.87614,0.45354,1.02204,0.000990365,0.000990365,0.000990365
43,1300.21,0.91378,0.53303,1.00558,0.9686,0.96988,0.9863,0.76471,0.85064,0.49757,1.0149,0.000973861,0.000973861,0.000973861
44,1329.61,0.88119,0.51936,0.99719,0.96838,0.96911,0.98323,0.76847,0.87389,0.48035,1.01542,0.000957358,0.000957358,0.000957358
45,1359.17,0.88785,0.51787,0.99531,0.96539,0.97167,0.99088,0.77345,0.86729,0.46451,1.01543,0.000940855,0.000940855,0.000940855
46,1388.81,0.90229,0.52131,1.00679,0.97285,0.9708,0.99234,0.77063,0.88888,0.47849,1.02696,0.000924352,0.000924352,0.000924352
47,1418.15,0.88097,0.51804,1.00225,0.98337,0.96953,0.99213,0.77205,0.85683,0.46362,1.02811,0.000907848,0.000907848,0.000907848
48,1448.08,0.88358,0.52789,0.99775,0.93971,0.95812,0.98794,0.76402,0.89415,0.4766,1.03615,0.000891345,0.000891345,0.000891345
49,1477.79,0.87327,0.52428,0.99601,0.94306,0.92065,0.98284,0.7602,0.89258,0.59315,1.0447,0.000874842,0.000874842,0.000874842
50,1507.55,0.89683,0.51626,0.9981,0.94124,0.93967,0.96928,0.75739,0.86626,0.54025,1.04711,0.000858338,0.000858338,0.000858338
51,1538.21,0.89071,0.52296,1.00002,0.96926,0.99874,0.99337,0.77713,0.85779,0.43385,1.02871,0.000841835,0.000841835,0.000841835
52,1567.7,0.88595,0.50167,1.00382,0.98438,0.97911,0.99302,0.78888,0.83484,0.43298,1.01988,0.000825332,0.000825332,0.000825332
53,1597.22,0.8785,0.51135,0.99832,0.97571,0.97438,0.99133,0.7751,0.85029,0.46522,1.02536,0.000808828,0.000808828,0.000808828
54,1626.65,0.88534,0.50816,1.00017,0.97737,0.98323,0.99382,0.77373,0.83397,0.45231,1.01749,0.000792325,0.000792325,0.000792325
55,1656.06,0.86909,0.49792,0.99267,0.96882,0.97826,0.99037,0.77075,0.8516,0.45819,1.03255,0.000775822,0.000775822,0.000775822
56,1685.6,0.88864,0.49588,1.00324,0.91218,0.92838,0.96616,0.74454,0.85826,0.56347,1.04474,0.000759318,0.000759318,0.000759318
57,1714.96,0.88409,0.49499,0.99053,0.99144,0.99276,0.99412,0.78503,0.83813,0.40944,1.04305,0.000742815,0.000742815,0.000742815
